Gene Name,Value 1
PA1314,0
PA1315,0
PA0133,0.446984
PA1316,0
cyoA,0.219982
cyoB,2.30401
cyoC,0
cyoD,1.01334
cyoE,0
PA1322,0.214955
PA1323,0
PA1324,0
PA1324.1,0
PA0134,0
PA1325,0
ilvA2,0
PA1327,0
PA1328,0
PA1329,0
PA1330,0.71133
PA1331,0
PA1332,0
PA1333,0
PA1334,0
PA0135,0
PA1335,0.228277
PA1336,0.403514
ansB,3.60974
ggt,0.557506
PA1339,1.4899
PA1340,0
PA1341,0
PA1342,39.4284
PA1343,0
PA1344,0
PA0136,0
PA1345,0
PA1346,0
PA1347,0.828641
PA1348,0
PA1349,0
PA1350,0.436554
PA1351,0
PA1352,0
PA1353,3.17616
PA1354,0
PA0137,0
PA1355,0
PA1356,0
PA1357,1.67662
PA1358,0
PA1359,0
PA1360,0.962825
PA1361,0.263509
PA1362,19.5169
PA1363,0.90333
PA1364,0
PA0138,0.441621
PA1365,0
PA1366,0.601274
PA1367,0
PA1368,0.291073
PA1369,104.664
PA1370,6.19827
PA1371,92.4541
PA1372,104.431
fabF2,0
PA1374,0
PA0015,2.26714
ahpC,52.7541
pdxB,0
aceK,1.56791
PA1377,2.11147
PA1378,0
PA1379,0
PA1380,0
PA1381,0
PA1382,1.19111
PA1383,0.512426
galE,0.299792
ahpF,1.10115
PA1385,0.540048
PA1386,0.8012
PA1387,0.314127
PA1388,2.25301
PA1389,0.331267
PA1390,0.210207
PA1391,0.207151
PA1392,0.479759
cysC,0
PA1394,0
PA0141,14.0413
PA1395,0
PA1396,0.229069
PA1397,0.547035
PA1398,0
PA1399,0
PA1400,0.0810584
PA1401,0
PA1402,0
PA1403,0
PA1404,0
PA0142,0
PA1405,0
PA1406,0
PA1407,0
PA1408,0.147414
aphA,0.290484
PA1410,0.910779
PA1411,0
PA1412,0
PA1413,0
PA1414,8.59171
nuh,0.584088
PA1415,1.24545
PA1416,0.699826
PA1417,0
PA1418,0.206959
PA1419,0
PA1420,1.39749
gbuA,1.61381
gbuR,0.250441
bdlA,1.96982
PA1424,0
PA0144,0.554214
PA1424a,0
PA1425,0
PA1428a,0.976893
PA1428,0
PA1429,0.537071
lasR,10.5302
rsaL,627.92
lasI,62.0684
PA1433,0
PA1434,0
PA0145,0
PA1435,0
PA1436,0.085939
PA1437,0
PA1438,0
PA1439,0
PA1440,2.69599
PA1441,0.390796
PA1442,0.958719
fliM,6.28156
fliN,2.24419
PA0146,0
fliO,0
fliP,1.27016
fliQ,0
fliR,0.297726
flhB,0.606632
PA1450,0.167314
PA1451,0.43086
flhA,1.60824
flhF,4.44363
fleN,1.51861
PA0147,0
fliA,7.04161
cheY,35.5537
cheZ,11.7921
PA1458,2.40783
PA1459,0.38854
motC,1.17448
motD,0.463885
PA1462,0.29207
PA1463,0.351027
PA1464,8.02835
PA0148,0.464909
PA1465,0
PA1466,0
PA1467,0
PA1468,0
PA1469,0.326147
PA1470,0
PA1471,0
PA1472,0
PA1473,0
PA1474,0.33278
trkA,1.4019
PA0149,0
ccmA,0
ccmB,0
ccmC,2.34872
PA1478,0
ccmE,7.77617
ccmF,0.769278
ccmG,5.70436
ccmH,0
cycH,1.46795
PA1483a,0
PA0150,0
PA1484,0
PA1485,0
PA1486,0
PA1487,0
PA1488,0
PA1489,0.326652
PA1490,0.552011
PA1491,0
PA1492,0
cysP,6.11199
PA0151,0
PA1494,0
PA1495,0
PA1496,0
PA1497,0
pykF,0
PA1499,0
PA1500,0
PA1501,1.68283
gcl,0
PA1503,0
pcaQ,0.384703
PA1504,0
moaA2,1.64149
PA1506,0
PA1507,1.13083
PA1508,0
PA1509,22.776
PA1510,5.50493
PA1511,0.15558
hcpA,0
PA1513,0.757397
pcaH,0.788304
PA1514,0
alc,0
PA1516,0
PA1517,1.14802
PA1518,1.18762
PA1519,0
PA1520,1.2606
PA1521,0
PA1522,0
xdhB,0.575896
pcaG,0
xdhA,0.535776
alkB2,0.986327
PA1526,0
PA1527,3.97288
zipA,24.8322
lig,0
PA1530,0
ffs,0.229848
PA1531,2.30942
dnaX,1.08886
pcaR,0.377799
PA1533,104.495
recR,1.57665
PA1535,0.186042
PA1536,0.911499
PA1537,0
PA1538,0
PA1539,0.372782
PA1540,0
PA1541,0
PA1542,0.922388
PA0156,0.710679
apt,0
anr,5.95433
PA1545,83.5152
hemN,8.30355
PA1547,0
PA1548,0
PA1549,0.673809
PA1550,11.1725
PA1551,9.28703
ccoP1,7.3732
PA0157,0
ccoQ1,0
ccoO1,3.12423
ccoN1,3.16995
ccoP2,16.7355
ccoQ2,18.9854
ccoO2,12.123
ccoN2,14.3183
PA1558,0
aer,13.154
PA0158,0.819899
acnA,2.82851
PA1563,0.375534
PA1564,0
PA1565,0
PA1566,0
PA1567,1.01978
PA1568,0
PA1569,0.210581
PA1570,0
PA1571,0
PA0017,0.810124
PA0159,0.236023
PA1572,1.99969
PA1573,0
PA1574,0
PA1575,2.92266
PA1576,0.259969
PA1577,3.86543
PA1578,0.30817
PA1578a,2.64768
PA1579,9.36496
gltA,5.21954
PA0160,9.25315
sdhC,49.4142
sdhD,8.49661
sdhA,10.8454
sdhB,252.039
sucA,8.42561
sucB,15.8252
lpdG,1.7091
sucC,29.0246
sucD,13.3858
braB,0.638012
opdC,0.599352
PA1591,0.563275
PA1592,8.33205
PA1593,0
PA1594,0.911387
PA1595,0
htpG,8.62707
PA1597,0
PA1598,0
PA1599,0
PA1600,0
PA0163,0
PA1601,0.370017
PA1602,1.04908
PA1603,1.33764
PA1604,0.700767
PA1605,0.210207
PA1606,0
PA1607,0
PA1608,0.904737
fabB,3.45575
fabA,0
PA0164,0.475891
PA1611,0.821656
PA1612,0
PA1613,0.260757
gpsA,5.14565
PA1615,2.42377
PA1616,0
PA1617,0
PA1618,0
PA1619,0.386468
PA1620,0
PA0165,6.63273
PA1621,0.281379
PA1622,0
PA1623,3.80152
PA1624,0.283978
PA1625,0.563476
PA1626,0
PA1627,0
PA1628,0
PA1629,0
PA1630,1.8294
PA0166,0.442898
PA1631,0
kdpF,6.03907
kdpA,0
kdpB,0
kdpC,0
kdpD,0
kdpE,0
PA1638,0.245443
PA1639,0.580888
PA1640,0.500981
PA0167,3.95579
PA1641,0
selD,0.210207
PA1643,0.193658
PA1643a,0
PA1644,1.75177
PA1645,1.05722
PA1646,0.327197
PA1647,0
PA1648,0
PA1649,0.566163
PA0168,0
PA1650,0.60001
PA1651,0.324731
PA1652,0
PA1653,0
PA1654,1.72477
PA1655,4.5216
PA1656,19.5494
PA1657,6.91489
PA1658,22.6564
PA1659,1.4629
PA0169,0
PA1660,3.54766
PA1661,0.735699
PA1662,0.605722
PA1663,0.13619
PA1664,0
PA1665,0
PA1666,3.10912
PA1667,0.688833
PA1668,1.2011
PA1669,0.744333
fmt,1.68226
PA0170,1.60368
stp1,0
stk1,0
PA1672,1.18762
PA1673,88.1136
folE2,7.33259
PA1675,0
PA1676,0
PA1677,3.4066
PA1678,0.448801
PA1679,0.964304
PA0171,2.73952
PA1680,0.223175
aroC,0.394775
PA1682,0
PA1683,0
PA1684,2.31957
masA,0.436554
alkA,0
speE,0.746414
PA1688,2.89379
PA1689,0.92596
PA0172,0.378073
pscU,0
pscT,0
PA1692,0
pscR,2.48376
pscQ,0
pscP,0
pscO,0
PA1697,0
popN,0
PA1699,0
PA0173,0.206675
PA1700,0
PA1701,0
PA1702,0
pcrD,0.528686
pcrR,0
pcrG,0
pcrV,1.54315
pcrH,14.458
popB,14.9865
popD,1.78917
PA0174,0
exsC,0
PA1711,0
exsB,0
exsA,1.53228
exsD,0.547722
pscB,0
pscC,0.60326
pscD,0.609651
pscE,34.6787
pscF,3.62265
PA0175,0
pscG,0
pscH,0
pscI,0.997492
pscJ,0.312873
pscK,0
pscL,2.48174
bglX,0.205265
mucR,0.133903
PA1728,0
PA1729,0.703151
aer2,0.919967
PA1730,0.878361
PA1731,0
PA1732,0.286625
PA1733,0
PA1734,0
PA1735,0.352496
PA1736,0.741982
PA1737,0.256001
PA1738,0
PA1739,0.315517
PA0177,0
PA1740,0
PA1741,0
PA1742,6.30633
PA1743,0
PA1744,0
PA1745,0
PA1746,2.55523
PA1747,5.75726
PA1748,2.86437
PA1749,0.560165
PA0178,0.543841
PA1750,16.6154
PA1751,0
PA1752,1.22153
PA1753,2.62372
cysB,63.673
PA1755,0
cysH,1.25518
thrH,0.750895
pabB,0.153148
PA1759,0.905396
PA0179,2.59881
PA1760,1.03275
PA1761,0
PA1762,0.305112
PA1763,0.295582
PA1764,0.176952
PA1765,0.179002
PA1766,12.6449
PA1767,3.02573
PA1768,2.9889
PA1769,10.7313
def,6.39053
cttP,0.433851
ppsA,6.09039
estX,0
PA1772,6.50214
cmaX,3.33028
crfX,0
cmpX,78.4729
sigX,28.564
oprF,100.312
cobA,0
PA1779,0
