"Feature ID","RPKM"
pcp,20.543
MT0335,16.425
dcd,18.7
ugdA,3.672
MT0338,11.265
MT0339,11.801
MT0340,10.094
MT0341,9.45
MT0342,17.6
MT0343,64.608
MT0344,31.764
MT0345,16.111
MT0346,16.417
MT0347,26.352
rfbA,20.016
MT0349,13.994
MT0350,11.516
aspC,55.886
MT0352,113.917
MT0353,26.332
MT0355,19.088
MT0356,274.053
MT0357,62.594
MT0357.1,43.852
MT0359,10.277
MT0360,23.461
ansP-1,79.276
MT0362,15.812
MT0363,19.589
MT0364,13.298
dnaK,179.786
grpE,160.849
dnaJ-1,144.702
hspR,100.877
MT0369,47.276
MT0370,11.88
MT0372,33.276
purA,17.842
MT0374,4.853
MT0375,11.392
MT0376,13.925
MT0377,82.92
MT0378,22.274
fba,93.568
dedA,49.89
MT0381,24.715
MT0382,20.097
MT0383,48.867
MT0384,3.363
MT0384.1,6.76
MT0385,4.415
MT0386,2.451
MT0387,3.081
MT0388,4.319
MT0389,2.062
MT0390,3.934
MT0391,12.901
MT0392,17.098
MT0393,31.965
MT0394,46.663
pyrE,101.262
MT0396,281.497
clpB,43.944
MT0398,11.938
MT0399,16.889
MT0400,11.586
purT,14.651
MT0401.1,43.255
metZ,32.098
ndh-1,13.889
MT0404,20.597
MT0404.1,28.793
MT0405,1.869
MT0406,4.748
MT0407,7.913
MT0407.1,42.33
MT0408,21.588
MT0409,13.683
MT0410,30.559
MT0411,7.984
MT0412,7.752
MT0413,4.014
MT0414,7.301
MT0415,11.877
MT0416,3.576
MT0417,18.749
MT0418,26.979
MT0419,19.565
fgd,35.136
pta,32.755
ackA,42.845
MT0423,100.888
MT0424,118.178
MT0425,110.026
MT0426,41.494
thiE,12.709
MT0428,21.119
MT0429,10.409
thiG,10.895
MT0431,2.664
MT0432,34.5
MT0433,59.245
MT0434,45.198
MT0435,38.453
thiD,56.92
thiC,131.749
MT0438,94.343
MT0440,95.871
MT0441,67.232
xth,23.267
MT0443,11.671
def,32.254
MT0445,52.217
AT103,59.881
sodC,81.994
MT0448,52.673
MT0449,39.797
MT0450,15.739
MT0451,46.305
pssA,41.509
MT0453,35.225
moeA-1,23.619
MT0455,16.033
groEL (NC_002755 530056..531679),359.448
MT0457,79.681
MT0458,19.65
MT0459,82.55
MT0460,52.985
MT0461,26.742
MT0462,26.385
cfa-1,15.875
MT0464,8.91
MT0465,13.764
MT0466,76.863
MT0467,100.085
MT0468,13.756
MT0469,10.36
MT0470,36.934
MT0471,101.468
MT0472,9.356
MT0472.1,8.655
MT0474,22.162
MT0475,34.443
MT0476,83.698
MT0477,45.293
lpdA-1,88.749
MT0479,39.615
MT0480,59.758
MT0481,29.096
MT0482,76.912
aceA-1,669.891
MT0484,171.522
MT0485,165.15
cmaC,190.607
MT0487,13.997
MT0488,38.227
MT0489,127.646
MT0490,62.173
MT0491,63.878
MT0492,83.975
MT0493,394.095
MT0494,57.092
MT0495,134.919
deoC,64.704
MT0497,128.926
MT0498,23.111
MT0499,28.174
murB,15.162
MT0501,275.751
MT0502,44.6
MT0503,187.524
MT0504,162.029
MT0505,70.155
MT0506,7.549
MT0507,5.766
gpmA,60.175
senX3,136.115
regX3,134.282
MT0511,34.948
MT0512,10.994
