key,KN1_R2
BSU03080,2637
BSU03090,800
BSU03100,730.8
BSU03110,45.1
BSU03120,0
BSU03130,4304.7
BSU03140,318.5
BSU03150,9496.7
BSU03160,190.1
BSU03170,629.5
BSU03180,497.6
BSU03190,435.1
BSU03200,920.6
BSU03210,3872.9
BSU03220,17593.8
BSU03230,1488
BSU03240,523.8
BSU03250,1375.6
BSU03260,587.2
BSU03270,2966.5
BSU03280,3342.2
BSU03290,4109
BSU03300,2271.3
BSU03310,1546
BSU03320,1687.1
BSU03330,3616.1
BSU03340,109.5
BSU03350,13.6
BSU03359,148.7
BSU03360,36.6
BSU03370,850
BSU03380,2812.3
BSU03390,793
BSU03400,0
BSU03410,212.4
BSU03420,297.2
BSU03430,4307.2
BSU03440,37.6
BSU03450,845.1
BSU03460,1044.2
BSU03470,241.2
BSU03480,222.9
BSU03490,298.4
BSU03500,68.7
BSU03510,524.3
BSU03520,262.9
BSU03530,1863.7
BSU03540,34.9
BSU03550,510.2
BSU03560,236.9
BSU03569,1503.5
BSU03570,644.8
BSU03580,15801.2
BSU03590,9493.6
BSU03600,2002.4
BSU03610,1763.6
BSU03620,0
BSU03630,105.1
BSU03640,46.6
BSU03651,22
BSU03652,214.4
BSU03660,958.8
BSU03670,15934.6
BSU03680,89.7
BSU03690,7.9
BSU03700,157.6
BSU03710,156
BSU03720,202.9
BSU03730,214.8
BSU03740,140.7
BSU03750,1079.7
BSU03760,1648.7
BSU03770,615.4
BSU03780,2800.4
BSU03789,2021.2
BSU03790,13232.9
BSU03800,36019.7
BSU03810,9176.1
BSU03820,29719.6
BSU03830,16258.4
BSU03840,854.4
BSU03850,506.9
BSU03860,3431.7
BSU03870,785.1
BSU03880,21133.7
BSU03890,527
BSU03900,585.8
BSU03910,6940.1
BSU03920,0
BSU03930,82.1
BSU03940,3951.5
BSU03950,4578.4
BSU03960,4397.4
BSU03970,6369.1
BSU03981,156.4
BSU03982,211.8
BSU03990,215.2
BSU04000,194.9
BSU04010,0
BSU04020,398.5
BSU04030,5501.2
BSU04039,38.2
BSU04040,1866.8
BSU04050,6890.2
BSU04060,3310.1
BSU04070,12044.3
BSU04080,3441
BSU04090,3283
BSU04100,1339.5
BSU04110,277.3
BSU04120,129.1
BSU04130,448.7
BSU04140,1815.1
BSU04150,4488.5
BSU04160,2504.1
BSU04170,416
BSU04180,121.6
BSU04190,33.6
BSU04200,169.5
BSU04210,1121.8
BSU04220,862
BSU04230,4287.4
BSU04240,1464.1
BSU04250,563.8
BSU04260,10939.7
BSU04270,397
BSU04280,347.2
BSU04290,307.4
BSU04300,284.6
BSU04310,194.2
BSU04320,3223.7
BSU04330,149.1
BSU04340,293.1
BSU04359,2439
BSU04360,35219
BSU04370,1722.8
BSU04380,193.3
BSU04390,890.9
BSU04400,257.9
BSU04410,985
BSU04420,762.6
BSU04430,863.6
BSU04440,178.8
BSU04450,973.7
BSU04460,609
BSU04470,359.8
BSU04480,6956
BSU04490,3486.4
BSU04500,1542.8
BSU04510,8689
BSU04520,2612.4
BSU04530,3667.7
BSU04540,2358.3
BSU04550,1054.9
BSU04560,10131.3
BSU04570,1752.8
BSU04580,57714.7
BSU04590,2277.8
BSU04600,1366.5
BSU04610,1888.4
BSU04620,1507.5
BSU04630,624.3
BSU04640,5838.1
BSU04650,172244.3
BSU04660,31072.2
BSU04670,5246.6
BSU04680,7487.6
BSU04690,3546.2
BSU04700,1747.4
BSU04710,2587.7
BSU04720,5991.4
BSU04730,8592.5
BSU04740,3329.8
BSU04750,285.5
BSU04760,922.1
BSU04770,896.2
BSU04780,1141.4
BSU04790,1198.2
BSU04800,441.1
BSU04810,343.1
BSU04820,701.3
BSU04830,0
BSU04839,25
BSU04840,138.2
BSU04850,139.4
BSU04860,1.9
BSU04870,20.7
BSU04880,54.5
BSU04890,0
BSU04900,21.9
BSU04910,0
BSU04920,0
BSU04930,0
BSU04940,0
BSU04950,0
BSU04960,11.5
BSU04970,0
BSU04980,0
BSU04990,109.4
BSU05000,79.9
BSU05010,73.9
BSU05020,211.1
BSU05030,152.7
BSU05040,381.6
BSU05050,67.3
BSU05060,68.5
BSU05070,153.9
BSU05080,104.7
BSU05090,180.1
BSU05099,170.8
BSU05100,573.3
BSU05109,192
BSU05110,8.1
BSU05120,106027.4
BSU05130,414.6
BSU05140,329.5
BSU05150,128.4
BSU05160,211.8
BSU05170,323.6
BSU05180,559.1
BSU05190,379
BSU05200,225.1
BSU05210,488.7
BSU05220,26.9
BSU05230,956.8
BSU05240,93.8
BSU05250,440.3
BSU05260,503.4
BSU05270,641.3
BSU05280,2095.6
BSU05290,652.1
BSU05300,217.3
BSU05310,99.3
BSU05320,647.9
BSU05329,0
BSU05330,338.4
BSU05340,1097.8
BSU05343,3235.1
BSU05344,1309.6
BSU05350,9.9
BSU05360,31.8
BSU05370,207.3
BSU05380,4.7
BSU05390,933.6
BSU05400,1386.8
BSU05408,27.9
BSU05409,0
BSU05410,736.1
BSU05420,875.6
BSU05430,174.6
BSU05440,534.6
BSU05450,15.1
BSU05460,314.4
BSU05470,171.4
BSU05480,53
BSU05490,181.7
BSU05500,384.9
BSU05510,0
BSU05520,13.8
BSU05529,0
BSU05530,21
BSU05540,14
BSU05550,8.1
BSU05560,0
BSU05570,0
BSU05580,288.4
BSU05590,1035.3
BSU05600,577
BSU05610,787.6
BSU05620,7964.3
BSU05630,1711.5
BSU05640,127.9
BSU05650,1467.9
BSU05660,539.2
BSU05670,533.6
BSU05680,3554.5
BSU05690,166.5
BSU05700,1381
BSU05710,127.4
BSU05720,371.4
BSU05730,20.8
BSU05740,223.3
BSU05750,408.2
BSU05760,626
BSU05770,160
BSU05780,262
BSU05790,216.6
BSU05800,594.7
BSU05810,300.4
BSU05820,184
BSU05830,182.2
BSU05840,148.4
BSU05850,551.6
BSU05860,2069.5
BSU05870,885.5
BSU05880,477.7
BSU05890,68.2
BSU05899,0
BSU05900,734.4
BSU05910,985.7
BSU05920,1158.8
BSU05930,1014.9
BSU05940,1158.2
BSU05950,1217.6
BSU05960,1910.8
BSU05970,2561.1
BSU05980,13191.2
BSU05990,21551.1
BSU06000,5822.8
BSU06010,1356.9
BSU06020,3974.8
BSU06030,32186.8
BSU06033,65.9
BSU06034,0
BSU06036,0
BSU06037,47.8
BSU06038,79
BSU06040,224.9
BSU06048,82.5
BSU06049,30.8
BSU06060,2216.5
BSU06070,9927.8
BSU06073,788.1
BSU06074,626.1
BSU06076,650.8
BSU06077,1341.5
BSU06078,1348.2
BSU06079,1751.8
BSU06083,1058
BSU06090,146
BSU06100,162.9
BSU06110,187
BSU06120,104.2
BSU06130,99.4
BSU06140,361.7
BSU06150,268.1
BSU06160,43.9
BSU06170,5197.2
BSU06180,354.1
BSU06190,163.4
BSU06200,434.1
BSU06210,162.4
BSU06220,34.4
BSU06230,54.3
BSU06240,2095
BSU06250,378.7
BSU06260,303.1
BSU06269,285.6
BSU06270,30159.9
BSU06280,669.2
BSU06290,354.5
BSU06300,249.4
BSU06310,4121.3
BSU06319,0
BSU06320,1655.8
BSU06330,11954.7
BSU06340,10075.9
BSU06350,8064.3
BSU06360,101739.7
BSU06370,105559.8
BSU06380,9002.4
BSU06390,954.6
BSU06400,783
BSU06410,1325.2
BSU06420,259015.8
BSU06430,228899.8
BSU06440,270370.5
BSU06450,164393.2
BSU06460,165866.5
BSU06470,330102.3
BSU06480,516671.6
BSU06490,1020826.3
BSU06500,270673.1
BSU06510,372893.9
BSU06520,405902.1
BSU06530,339935.8
BSU06540,914.6
BSU06550,1701.8
BSU06559,0
BSU06560,263
BSU06570,51623
BSU06580,48029.2
BSU06590,14.9
BSU06600,6423.1
BSU06610,8944.2
BSU06620,16233.2
BSU06630,8714.4
BSU06640,1173
BSU06650,7290.3
BSU06660,7631.4
BSU06670,11943.2
BSU06680,17047.1
BSU06690,36126.3
BSU06700,3349.7
BSU06710,20007.4
BSU06720,19406.9
BSU06730,6107.3
BSU06740,22.2
BSU06750,140.3
BSU06760,164.6
BSU06770,440.6
BSU06780,792.2
BSU06790,55.3
BSU06800,108.3
BSU06811,157.7
BSU06812,424
BSU06820,32.3
BSU06830,426.1
BSU06839,158.3
BSU06840,17463.4
BSU06850,2699.3
BSU06860,834.2
BSU06870,23.9
BSU06880,475.4
BSU06890,0
BSU06900,0
BSU06910,4.3
BSU06920,9602.8
BSU06930,440.7
BSU06940,12
BSU06950,4.1
BSU06960,55.8
BSU06970,6.5
BSU06980,82
BSU06990,0
BSU07000,188.1
BSU07010,84.1
BSU07020,95
BSU07030,47.4
BSU07040,27.9
BSU07050,7.5
BSU07060,70.3
BSU07070,85.1
BSU07080,129.5
BSU07090,48.4
BSU07100,20.5
BSU07110,0
BSU07120,116.6
BSU07130,74.2
BSU07140,44.9
BSU07150,5727.8
BSU07160,1939.6
BSU07170,4306.6
BSU07180,5831.1
BSU07190,154.2
BSU07200,4260
BSU07210,382
BSU07220,1000
BSU07230,52.2
BSU07240,2543.8
BSU07250,65.4
BSU07260,19256.5
BSU07270,17.1
BSU07280,42.6
BSU07290,42
BSU07300,494.6
BSU07310,794.5
BSU07320,3777.5
BSU07330,666.5
BSU07340,50114.6
BSU07350,315.5
BSU07360,226
BSU07370,15564.4
BSU07380,2818.4
BSU07390,2813.2
BSU07400,725
BSU07410,0
BSU07420,17109.4
BSU07430,2185.6
BSU07440,336.3
BSU07450,2758.5
BSU07460,47.4
BSU07480,49
BSU07490,25053.4
BSU07500,6916
BSU07510,4028.3
BSU07520,6913
BSU07530,522.9
BSU07540,0
BSU07550,402.8
BSU07560,90.4
BSU07570,204.9
BSU07580,1799.2
BSU07590,463
BSU07600,514.7
BSU07610,1175.8
BSU07620,3457.2
BSU07630,1037.2
BSU07640,1787.2
BSU07650,2031.5
BSU07660,2391.2
BSU07670,1006.4
BSU07680,8781
BSU07690,6227.9
BSU07700,7305.6
BSU07710,25889.4
BSU07720,25.4
BSU07735,1091.5
BSU07750,121.8
BSU07760,15.3
BSU07770,0
BSU07780,28.2
BSU07790,12.9
BSU07800,110.3
BSU07810,94.2
BSU07820,5502.6
BSU07830,2078.6
BSU07840,1063.5
BSU07850,863.6
BSU07860,747.5
BSU07870,8049.6
BSU07880,1185.1
BSU07890,846.5
BSU07900,1280
BSU07910,839.2
BSU07920,148.6
BSU07930,454.4
BSU07940,7418.3
BSU07955,2482.9
BSU07970,7599.6
BSU07980,822.8
BSU07990,997.6
BSU08000,1445.9
BSU08010,5342
BSU08020,12740.3
BSU08029,38.9
BSU08030,1892.3
BSU08040,621.5
BSU08050,131.9
BSU08060,0
BSU08070,0
BSU08080,64.2
BSU08090,293.9
BSU08100,352
BSU08110,405.3
BSU08120,5405.4
BSU08130,417.3
BSU08140,96.6
BSU08150,294.1
BSU08160,239.2
BSU08170,114.1
BSU08180,608.6
BSU08190,330.2
BSU08200,133.1
BSU08210,514.1
BSU08220,448.7
BSU08230,283
BSU08240,1277.6
BSU08250,146.5
BSU08260,45.5
BSU08270,58.4
BSU08280,162.2
BSU08290,401.3
BSU08300,437.8
BSU08310,0
BSU08320,14.2
BSU08330,95.9
BSU08340,8113.9
BSU08350,141.2
BSU08360,414.3
BSU08370,1008
BSU08380,138.3
BSU08390,1206.4
BSU08400,223
BSU08410,726
BSU08425,3232
BSU08440,27804.5
BSU08450,5341.1
BSU08460,5638.3
BSU08470,3591.8
BSU08480,13560
BSU08490,150390.6
BSU08500,8.4
BSU08510,69.6
BSU08520,3489.4
BSU08530,2303.4
BSU08540,4707.6
BSU08550,14640.1
BSU08560,2674.3
BSU08570,47.9
BSU08580,1621.5
BSU08590,1235.8
BSU08600,563.8
BSU08610,173.7
BSU08620,4354.9
BSU08630,5618.5
BSU08640,373
BSU08650,10396.2
BSU08660,207615.7
BSU08670,102.5
BSU08680,3114.6
BSU08690,1680.3
BSU08700,2676.3
BSU08710,7059
BSU08720,2558.8
BSU08730,44180.4
BSU08740,469.2
BSU08750,1065.8
BSU08760,3415.5
BSU08770,207.1
BSU08779,85.5
BSU08780,3126.3
BSU08790,1697.7
BSU08800,27.5
BSU08810,0
BSU08820,7779.8
BSU08830,0
BSU08840,10.2
BSU08850,44.8
BSU08860,67.8
BSU08870,135.6
BSU08880,1545.1
BSU08890,508.5
BSU08899,1026.7
BSU08900,1045.3
BSU08910,2025.8
BSU08920,273.9
BSU08930,2710.3
BSU08940,272.8
BSU08950,1399.4
BSU08960,1596.1
BSU08970,57
BSU08980,291.6
BSU08990,2241.9
BSU09000,707.5
BSU09010,1961.7
BSU09020,3632.3
BSU09030,3336.4
BSU09040,18.7
BSU09050,270.1
BSU09060,688.5
BSU09070,298.1
BSU09080,474.4
BSU09090,372.6
BSU09100,59796
BSU09110,2438.1
BSU09120,702.5
BSU09130,953.8
BSU09140,2669.3
BSU09150,1667.3
BSU09165,4.9
BSU09180,6560.6
BSU09190,540.6
BSU09200,518.7
BSU09210,484.2
BSU09220,5352.2
BSU09230,610599.7
BSU09240,4457.9
BSU09250,3417.4
BSU09259,221.9
BSU09260,3946.3
BSU09270,2006.3
BSU09280,966.5
BSU09290,843
BSU09300,2442.7
BSU09310,7354.4
BSU09320,1216.8
BSU09330,1801.5
BSU09340,1412.5
BSU09350,5401.5
BSU09360,0
BSU09370,307.6
BSU09380,1913.4
BSU09390,201.3
BSU09400,116.8
BSU09410,1847.8
BSU09420,3255.6
BSU09430,879.7
BSU09440,4919.1
BSU09450,6889.5
BSU09460,15095.4
BSU09470,4465.7
BSU09480,761.4
BSU09490,7.3
BSU09500,12169
BSU09510,8258.8
BSU09520,2772.2
BSU09530,674.3
BSU09540,7938
BSU09550,10104
BSU09560,19562.1
BSU09570,2538
BSU09590,56339.3
BSU09600,1252.9
BSU09610,2056.5
BSU09620,3393.9
BSU09630,37895.4
BSU09640,852.7
BSU09650,783.3
BSU09660,9311.4
BSU09670,20510.2
BSU09680,19366.7
BSU09690,531.2
BSU09700,2495.2
BSU09710,1258.2
BSU09720,994.9
BSU09730,1740.1
BSU09740,0
BSU09750,32058
BSU09760,8457.4
BSU09770,105.2
BSU09780,2.9
BSU09790,951.4
BSU09800,3854.2
BSU09810,260.3
BSU09830,1004.9
BSU09840,2595.4
BSU09850,1486.3
BSU09860,751.7
BSU09870,4309.8
BSU09880,13.2
BSU09889,867.9
BSU09890,49.8
BSU09900,526.3
BSU09910,1495.4
BSU09920,1216.7
BSU09930,10685.6
BSU09940,123.8
BSU09950,11512.1
BSU09958,264.3
BSU09965,925
BSU09980,458.4
BSU09990,8933.4
BSU10000,9335.3
BSU10009,184.2
BSU10010,137518.9
BSU10020,17393.5
BSU10030,1189.1
BSU10040,2070
BSU10050,4339.2
BSU10060,3518
BSU10070,10876.9
BSU10080,135.8
BSU10090,0
BSU10100,831.3
BSU10110,897.1
BSU10120,2777.9
BSU10130,3451.3
BSU10140,4556.3
BSU10150,1099.4
BSU10160,1554.8
BSU10170,201.2
BSU10180,52.3
BSU10200,405.5
BSU10210,333.3
BSU10220,328258.6
BSU10230,3611.8
BSU10240,1536.5
BSU10250,1932.2
BSU10260,6176.8
BSU10270,600.9
BSU10280,5
BSU10290,267.4
BSU10300,646.4
BSU10310,208.3
BSU10320,5982.7
BSU10330,36426.6
BSU10340,18921.4
BSU10350,10453.7
BSU10360,10704
BSU10370,12872.7
BSU10380,335.5
BSU10390,213.8
BSU10400,63.9
BSU10410,138341.6
BSU10420,410.9
BSU10430,234.2
BSU10440,2191.8
BSU10450,1016.1
BSU10460,748.5
BSU10470,37.9
