Gene	T389pH67_1	T401pH67_2	T455pH67_3	T642pH61_1	T665pH61_2	T672pH61_3	T652pH565_1	T671pH565_2	T699pH565_3	T723pH565_4
Fisuc_0837	3.8574	2.5881	5.0803	4.5266	1.4694	5.1858	38.8448	38.5090	43.8307	29.9820
Fisuc_0838	1604.6621	1862.1605	2780.1885	1274.2437	2079.2044	2447.6876	1503.3997	1035.7189	1249.4442	2031.2790
Fisuc_0839	83.5762	82.8202	88.9051	61.1094	74.9395	77.7867	53.0179	72.9946	65.4754	70.7387
Fisuc_0840	33.4305	19.4110	27.9416	29.4230	22.0410	31.1147	23.6219	21.2661	29.2204	23.4234
Fisuc_0841	84.8619	63.4092	76.2043	74.6892	129.3074	159.0306	54.0678	75.8684	66.0165	89.9459
Fisuc_0842	69.4325	75.0558	110.4963	86.0058	111.6746	74.3295	90.8129	97.7093	108.7650	113.3694
Fisuc_0843	57.8604	126.8184	59.6934	81.4792	91.1029	58.7722	46.7188	41.9575	36.7961	49.1892
Fisuc_0844	254.5858	271.7538	255.2846	192.3814	157.2261	191.8738	226.7698	256.3433	237.0102	218.7747
Fisuc_0845	432.0244	566.8008	424.2042	301.0203	342.3708	331.8899	333.3306	309.2213	298.6978	262.8108
Fisuc_0846	108.0061	108.7015	90.1751	83.7425	48.4903	38.0290	128.0829	115.5269	122.2929	120.3964
Fisuc_0847	19.2868	19.4110	15.2409	6.7899	10.2858	1.7286	61.9417	61.4994	51.9474	65.5856
Fisuc_0848	11.5721	5.1763	11.4307	6.7899	5.8776	0.0000	45.1440	38.5090	37.3372	31.3874
Fisuc_0849	42.4310	38.8220	96.5255	131.2720	76.4089	96.8012	43.0443	36.2099	41.6662	58.5586
Fisuc_0850	4529.8274	5758.5924	1394.5395	563.5643	633.3124	499.5634	2286.5954	1928.8972	1673.1406	1361.8377
Fisuc_0851	569.6036	687.1489	516.9195	391.5527	443.7595	508.2063	370.0757	386.8140	350.6452	278.7387
Fisuc_0852	73.2899	98.3490	52.0730	58.8461	60.2455	46.6720	102.8863	93.1112	88.2024	79.1712
Fisuc_0853	15.4294	11.6466	1.2701	11.3166	7.3470	5.1858	11.0235	14.9438	14.0691	12.6486
Fisuc_0854	259.7290	313.1639	254.0145	301.0203	258.6148	236.8172	259.3155	264.9647	224.0234	196.7567
Fisuc_0855	97.7198	91.8787	66.0438	95.0590	82.2865	31.1147	103.9362	97.7093	101.7304	87.6036
Fisuc_0856	108.0061	98.3490	209.5619	45.2662	47.0209	29.3861	89.7630	71.8451	116.8817	58.0901
Fisuc_0857	158.1518	207.0505	160.0291	138.0619	177.7977	145.2018	300.7849	331.0622	292.2044	217.3693
Fisuc_0858	1166.2088	1690.0498	1103.6929	991.3299	1288.6659	1215.2009	748.0253	839.7255	859.8384	770.1621
Fisuc_0859	52.7173	46.5864	48.2628	38.4763	29.3880	41.4862	28.3462	31.6118	32.4672	20.6126
Fisuc_0860	218.5838	166.9345	307.3575	162.9583	224.8186	209.1597	110.2353	135.6435	108.2238	95.0991
Fisuc_0861	122.1498	190.2277	111.7664	194.6447	186.6141	214.3455	384.2488	387.3888	372.2900	407.0991
Fisuc_0862	84.8619	125.5244	67.3138	156.1684	145.4708	153.8448	207.8723	143.6902	155.3012	233.2973
Fisuc_0863	147.8655	135.8769	176.5401	230.8577	276.2476	202.2454	626.2416	458.6591	590.3611	509.2252
Fisuc_0864	14.1437	21.9991	11.4307	13.5799	22.0410	15.5573	30.4459	30.4623	25.9737	27.6396
Fisuc_0865	46.2883	60.8211	29.2117	47.5295	27.9186	34.5719	82.9390	60.9246	73.0511	54.3423
Fisuc_0866	1172.6377	1286.3013	1002.0871	932.4839	1049.1533	1132.2284	1677.1516	1686.3481	1724.5469	1586.2341
Fisuc_0867	617.1777	666.4438	542.3209	497.9283	480.4946	447.7056	457.2141	441.9910	398.2637	392.1081
Fisuc_0868	30.8589	27.1754	46.9927	31.6863	10.2858	29.3861	22.5720	17.8176	16.2336	20.6126
Fisuc_0869	38.5736	36.2338	49.5328	24.8964	29.3880	36.3005	44.6191	49.4294	41.6662	50.5946
Fisuc_0870	55.2888	46.5864	73.6642	61.1094	54.3679	48.4006	77.1647	71.2703	70.8866	70.2703
Fisuc_0871	105.4345	128.1125	93.9854	113.1655	117.5522	88.1582	105.5109	105.7560	102.8126	105.4054
Fisuc_0872	1148.2077	1428.6485	1126.5542	1575.2640	1368.0136	1230.7582	767.4478	592.0036	620.1226	720.9729
Fisuc_0873	394.7366	443.8645	335.2991	228.5943	298.2887	273.1177	304.9844	308.0718	278.1353	255.3153
Fisuc_0874	29.5731	18.1169	30.4817	27.1597	39.6739	32.8433	95.0123	81.0413	109.3061	107.7477
Fisuc_0875	375.4498	201.8742	713.7807	1025.2796	1129.9704	1007.7697	1202.0899	1005.2566	1327.3654	1268.6125
Fisuc_0876	23.1442	27.1754	13.9708	24.8964	32.3269	20.7431	195.7989	159.7835	178.0282	141.4775
Fisuc_0877	415.3092	437.3942	406.4232	368.9196	365.8812	356.0902	471.3872	456.3601	479.9727	413.6576
Fisuc_0878	27.0015	7.7644	35.5620	33.9497	20.5716	31.1147	24.1468	21.8409	42.7484	39.3513
Fisuc_0879	65.5751	10.3525	110.4963	70.1626	80.8171	77.7867	38.8448	47.7051	62.2287	63.7117
Fisuc_0880	27.0015	11.6466	27.9416	27.1597	19.1022	10.3716	9.9737	10.9205	13.5280	10.3063
Fisuc_0881	223.7269	251.0487	175.2700	33.9497	30.8575	29.3861	35.1703	41.3828	36.7961	48.2522
Fisuc_0882	52.7173	59.5270	52.0730	92.7957	77.8783	101.9870	117.0594	117.8260	137.9854	117.1171
Fisuc_0883	33.4305	27.1754	25.4014	72.4259	69.0619	79.5153	73.4902	62.0742	68.7221	64.1802
Fisuc_0884	16.7152	42.7042	36.8321	36.2130	51.4291	53.5864	44.6191	51.7285	44.9129	42.1622
Fisuc_0885	82.2904	85.4083	101.6058	124.4821	121.9604	159.0306	174.2768	187.9468	216.9888	172.8648
Fisuc_0886	317.5894	217.4030	326.4086	323.6534	277.7171	297.3180	182.6757	179.3254	197.5085	185.5135
Fisuc_0887	69.4325	42.7042	50.8029	56.5828	52.8985	65.6865	45.1440	51.1537	47.0774	53.4054
Fisuc_0888	96.4340	84.1143	114.3065	86.0058	94.0418	98.5298	76.1149	68.3965	76.2978	75.8919
Fisuc_0889	78.4330	97.0549	106.6861	110.9022	110.2052	91.6154	80.8392	95.4103	89.8258	75.4234
Fisuc_0890	128.5787	86.7024	59.6934	70.1626	79.3477	69.1437	33.0706	43.6818	44.9129	52.9369
Fisuc_0891	118.2924	99.6431	144.7883	160.6950	146.9402	124.4587	148.5552	150.5873	209.4131	138.1982
Fisuc_0892	183.8675	38.8220	93.9854	49.7928	29.3880	20.7431	4.1994	7.4719	6.4934	13.5856
Fisuc_0893	9.0005	5.1763	11.4307	18.1065	10.2858	8.6430	11.5485	18.3923	15.1513	13.5856
Fisuc_0894	2.5716	2.5881	5.0803	4.5266	7.3470	10.3716	6.2992	6.3224	8.1168	7.4955
Fisuc_0896	414.0234	416.6892	729.0216	493.4017	496.6580	449.4342	476.1116	591.4288	636.8973	447.3873
Fisuc_0897	69.4325	23.2932	104.1459	90.5324	80.8171	89.8868	25.1966	28.1633	25.9737	22.4865
Fisuc_0898	231.4416	292.4588	217.1824	151.6418	154.2873	169.4021	177.9513	152.3116	135.8209	102.5946
Fisuc_0899	363.8777	463.2755	369.5911	248.9641	270.3700	280.0321	227.2947	231.0538	214.2832	176.6126
Fisuc_0900	52.7173	51.7626	45.7226	65.6360	72.0007	86.4296	186.3502	216.1101	186.6861	182.7027
Fisuc_0901	18.0010	23.2932	21.5912	13.5799	14.6940	20.7431	197.8986	195.4187	210.4954	156.0000
Fisuc_0902	12.8579	7.7644	5.0803	4.5266	1.4694	15.5573	6.2992	9.7709	10.8224	9.3694
Fisuc_0903	3.8574	2.5881	0.0000	4.5266	4.4082	3.4572	4.7244	5.7476	3.7878	7.0270
Fisuc_0904	9.0005	7.7644	3.8102	4.5266	5.8776	1.7286	13.6482	14.3690	18.9392	17.8018
Fisuc_0905	24.4300	10.3525	8.8905	11.3166	14.6940	12.1002	14.1731	13.7943	15.6925	24.3604
Fisuc_0906	32.1447	29.7635	19.0511	27.1597	22.0410	17.2859	32.0207	23.5652	28.1382	53.8739
Fisuc_0907	30.8589	16.8229	26.6715	11.3166	23.5104	24.2003	26.7714	16.6681	29.7616	34.6667
Fisuc_0908	55.2888	43.9982	30.4817	47.5295	55.8373	48.4006	51.9681	67.8218	74.6745	91.3513
Fisuc_0909	108.0061	85.4083	97.7956	83.7425	73.4701	65.6865	135.9569	126.4474	178.0282	218.7747
Fisuc_0910	57.8604	16.8229	30.4817	58.8461	35.2657	34.5719	47.2437	39.6585	48.7007	71.2072
Fisuc_0911	24.4300	15.5288	13.9708	11.3166	7.3470	15.5573	12.5983	14.9438	14.6102	20.6126
Fisuc_0912	16.7152	11.6466	21.5912	22.6331	11.7552	8.6430	24.1468	20.1166	33.0083	40.2883
Fisuc_0913	102.8630	81.5261	74.9343	72.4259	70.5313	81.2439	59.3171	55.1770	53.0297	53.8739
Fisuc_0914	24.4300	20.7051	12.7007	6.7899	7.3470	22.4717	14.1731	8.6214	12.4457	9.8378
Fisuc_0915	19.2868	32.3516	39.3722	18.1065	17.6328	25.9289	27.2964	38.5090	23.2681	28.5766
Fisuc_0916	82.2904	46.5864	99.0656	54.3194	57.3067	46.6720	27.2964	31.6118	44.9129	49.1892
Fisuc_0917	150.4371	107.4075	270.5254	203.6979	230.6962	205.7026	319.1575	325.3146	398.8049	334.9549
Fisuc_0918	14.1437	1.2941	13.9708	11.3166	8.8164	10.3716	2.0997	5.1728	4.3290	9.3694
Fisuc_0919	64.2893	85.4083	78.7445	117.6921	142.5320	134.8303	90.2880	102.8822	102.8126	87.1351
Fisuc_0920	6.4289	20.7051	7.6204	6.7899	17.6328	12.1002	27.2964	25.8642	18.3981	20.6126
Fisuc_0921	73.2899	238.1081	90.1751	92.7957	70.5313	108.9014	126.5081	239.6752	167.7470	241.2612
Fisuc_0922	21.8584	46.5864	16.5109	11.3166	24.9798	34.5719	9.4487	27.5885	14.0691	16.3964
Fisuc_0923	46.2883	126.8184	50.8029	36.2130	30.8575	24.2003	121.7838	77.0179	66.5577	59.0270
Fisuc_0924	69.4325	12.9407	39.3722	29.4230	23.5104	20.7431	9.9737	7.4719	7.0345	11.7117
Fisuc_0925	41.1452	59.5270	40.6423	36.2130	77.8783	46.6720	63.5165	71.2703	79.5445	67.4595
Fisuc_0926	18.0010	27.1754	10.1606	2.2633	7.3470	3.4572	27.8213	31.6118	24.8915	18.7387
Fisuc_0928	0.0000	5.1763	1.2701	2.2633	5.8776	5.1858	10.4986	9.1962	10.2813	14.5225
Fisuc_0930	294.4452	346.8096	243.8539	473.0319	470.2088	430.4196	439.3665	354.6274	361.4676	364.9369
Fisuc_0931	113.1493	59.5270	160.0291	194.6447	196.8999	179.7737	221.5205	215.5353	295.9922	258.1261
Fisuc_0932	72.0041	38.8220	63.5036	131.2720	132.2462	86.4296	92.3877	95.4103	119.0462	104.0000
Fisuc_0933	3.8574	2.5881	8.8905	36.2130	8.8164	15.5573	9.9737	14.9438	15.6925	14.9910
Fisuc_0935	19.2868	7.7644	27.9416	29.4230	35.2657	29.3861	17.8476	31.0371	45.9951	26.7027
Fisuc_0936	9.0005	2.5881	16.5109	27.1597	24.9798	22.4717	20.9972	24.1400	24.3504	20.1441
Fisuc_0937	3.8574	1.2941	8.8905	13.5799	8.8164	1.7286	7.3490	9.1962	8.1168	5.6216
Fisuc_0938	0.0000	2.5881	0.0000	2.2633	0.0000	0.0000	8.9238	6.3224	5.9523	6.5586
Fisuc_0939	3.8574	1.2941	3.8102	4.5266	2.9388	0.0000	3.6745	5.7476	9.1990	4.2162
Fisuc_0940	2.5716	1.2941	2.5401	4.5266	8.8164	10.3716	13.6482	6.3224	14.6102	14.9910
Fisuc_0941	2.5716	2.5881	2.5401	0.0000	0.0000	0.0000	22.0471	20.6914	18.9392	13.5856
Fisuc_0942	2.5716	3.8822	1.2701	2.2633	4.4082	0.0000	17.3227	9.1962	6.4934	16.3964
Fisuc_0944	7.7147	12.9407	10.1606	18.1065	7.3470	19.0145	11.5485	11.4952	13.5280	16.3964
Fisuc_0945	86.1477	85.4083	76.2043	83.7425	88.1641	114.0871	319.1575	418.4258	385.2769	247.8198
Fisuc_0946	10.2863	25.8813	30.4817	22.6331	26.4492	22.4717	28.3462	36.2099	29.2204	20.6126
Fisuc_0947	1198.3534	1833.6911	868.7295	645.0435	783.1915	705.2659	830.4394	684.5401	643.3907	620.7207
Fisuc_0948	689.1818	1160.7769	562.6421	477.5585	548.0871	494.3776	428.8679	416.7016	367.9611	302.6306
Fisuc_0949	572.1752	610.7990	518.1895	337.2332	330.6155	369.9189	215.2213	245.9976	196.9674	161.1531
Fisuc_0950	201.8686	232.9318	181.6204	117.6921	105.7970	129.6445	125.4583	129.8959	106.6005	110.5585
Fisuc_0951	524.6011	639.2685	457.2261	258.0174	305.6357	333.6184	240.9429	233.9276	195.3440	192.0721
Fisuc_0952	156.8660	263.9894	227.3430	565.8276	515.7602	478.8203	586.3469	423.0239	646.6374	515.3153
Fisuc_0953	525.8869	634.0922	711.2405	939.2738	928.6623	933.4402	851.9615	857.5431	938.3007	814.1981
Fisuc_0954	3.8574	1.2941	7.6204	11.3166	8.8164	5.1858	9.9737	9.1962	10.2813	7.4955
Fisuc_0955	16.7152	11.6466	21.5912	90.5324	35.2657	13.8287	328.6062	366.6974	367.4199	314.8108
Fisuc_0956	32.1447	24.5872	35.5620	40.7396	27.9186	39.7576	56.6924	46.5556	64.9343	53.4054
Fisuc_0958	0.0000	0.0000	0.0000	2.2633	0.0000	1.7286	4.7244	4.5981	3.7878	7.0270
Fisuc_0959	29.5731	6.4703	33.0219	22.6331	19.1022	17.2859	9.4487	11.4952	12.9869	14.9910
Fisuc_0961	88.7193	106.1134	88.9051	86.0058	101.3888	133.1017	84.5137	93.1112	77.3800	60.4324
Fisuc_0962	21.8584	28.4694	22.8613	27.1597	30.8575	32.8433	28.3462	31.0371	23.2681	26.2342
Fisuc_0963	654.4656	552.5661	1035.1090	1061.4926	1110.8682	1184.0862	1502.8748	1753.0204	1843.5931	1310.3062
Fisuc_0964	344.5909	420.5714	519.4596	998.1199	833.1512	764.0381	1061.4086	874.2112	1048.6890	862.9188
Fisuc_0965	280.3016	398.5722	373.4013	597.5139	606.8632	563.5213	943.2993	797.7680	953.4520	741.1170
Fisuc_0966	55.2888	71.1736	81.2846	97.3223	104.3276	100.2584	126.5081	128.7464	113.0939	119.9279
Fisuc_0967	117.0066	130.7006	190.5109	271.5972	258.6148	207.4312	386.3485	333.9360	400.9693	375.2432
Fisuc_0968	86.1477	89.2905	76.2043	194.6447	132.2462	98.5298	182.6757	180.4749	231.5990	170.5225
Fisuc_0969	70.7183	40.1160	60.9635	86.0058	80.8171	53.5864	79.2644	68.9713	100.6482	89.4775
Fisuc_0970	136.2934	187.6395	191.7809	303.2836	349.7178	274.8463	408.3956	361.5245	437.2243	340.5765
Fisuc_0971	128.5787	137.1710	106.6861	221.8044	239.5126	238.5458	383.1989	301.1747	371.7489	320.9009
Fisuc_0972	16.7152	11.6466	19.0511	6.7899	14.6940	10.3716	12.0734	10.9205	10.8224	15.4595
Fisuc_0973	153.0086	187.6395	106.6861	151.6418	139.5932	171.1307	82.4140	81.6160	79.0034	83.3874
Fisuc_0974	165.8665	270.4597	143.5182	113.1655	126.3686	133.1017	145.4056	132.1950	126.0808	150.8468
Fisuc_0975	466.7407	899.3757	382.2918	407.3959	412.9021	468.4487	266.1395	301.1747	239.7158	231.4234
Fisuc_0976	15.4294	21.9991	24.1314	20.3698	26.4492	25.9289	16.2728	22.9904	17.3158	19.6757
Fisuc_0977	129.8645	111.2897	158.7590	176.5382	168.9813	171.1307	111.2852	118.4007	127.1630	132.5766
Fisuc_0978	401.1655	480.0984	433.0947	667.6766	618.6184	591.1788	460.3637	419.5754	426.4019	399.6036
Fisuc_0979	104.1487	143.6413	105.4160	183.3281	174.8589	164.2163	145.4056	109.7793	155.3012	143.8198
Fisuc_0980	110.5777	121.6422	92.7153	169.7483	204.2469	164.2163	210.4970	179.3254	208.3309	223.4594
Fisuc_0981	83.5762	103.5253	101.6058	181.0648	149.8790	146.9304	240.4180	244.2733	269.4774	220.1802
Fisuc_0982	91.2909	165.6404	109.2262	235.3843	202.7775	133.1017	169.0275	136.2183	185.0628	183.1712
Fisuc_0983	104.1487	100.9371	96.5255	208.2246	171.9201	197.0596	263.5149	215.5353	248.9148	250.6306
Fisuc_0984	133.7218	172.1107	132.0875	273.8606	240.9820	198.7882	247.2421	183.9235	235.3869	252.0360
Fisuc_0985	182.5817	191.5217	163.8393	264.8073	312.9827	261.0175	309.1838	354.6274	365.2555	343.3873
Fisuc_0986	131.1503	133.2888	154.9488	264.8073	229.2268	222.9885	266.6645	248.2967	321.4248	242.6666
Fisuc_0987	69.4325	103.5253	73.6642	138.0619	154.2873	108.9014	158.5289	130.4707	164.5002	131.1712
Fisuc_0988	101.5772	134.5828	63.5036	106.3756	108.7358	86.4296	111.8101	95.9851	91.4491	75.4234
Fisuc_0989	54.0031	58.2330	29.2117	67.8993	57.3067	51.8578	57.2174	44.2566	64.9343	50.5946
Fisuc_0990	78.4330	112.5837	53.3430	135.7986	116.0828	107.1728	71.9154	74.1441	69.8044	81.5135
Fisuc_0991	33.4305	62.1152	26.6715	47.5295	48.4903	44.9434	69.2908	58.0508	54.6530	52.9369
Fisuc_0992	48.8599	112.5837	49.5328	79.2159	61.7149	67.4151	66.1412	67.2470	74.6745	69.3333
Fisuc_0993	171.0097	213.5208	139.7080	260.2807	271.8394	219.5313	188.9748	175.3020	213.7421	206.1261
Fisuc_0994	91.2909	86.7024	107.9562	205.9612	188.0835	193.6024	158.5289	116.6764	166.6647	160.2162
Fisuc_0995	144.0081	200.5802	139.7080	389.2894	393.7998	356.0902	235.1687	199.4420	221.8589	236.1081
Fisuc_0996	91.2909	115.1718	72.3941	255.7541	213.0633	188.4166	183.7255	166.6806	180.7338	177.5495
Fisuc_0997	108.0061	121.6422	104.1459	135.7986	123.4298	167.6735	96.5871	124.7231	101.7304	112.9009
Fisuc_0998	87.4335	77.6439	80.0146	104.1123	113.1440	112.3585	91.8628	99.4336	117.9640	93.2252
Fisuc_0999	30.8589	42.7042	22.8613	24.8964	27.9186	29.3861	29.9210	24.7147	22.7270	38.4144
Fisuc_1000	403.7371	354.5740	422.9341	418.7124	461.3923	385.4762	385.8236	388.5383	427.4842	377.1171
Fisuc_1001	299.5884	289.8707	320.0582	384.7628	368.8200	359.5473	354.8527	366.6974	350.1041	333.5495
Fisuc_1002	9.0005	9.0585	10.1606	13.5799	11.7552	19.0145	70.3406	68.3965	69.8044	94.1622
Fisuc_1003	284.1589	258.8131	325.1385	355.3397	326.2073	437.3340	311.8085	344.8565	336.5761	279.6756
Fisuc_1004	181.2960	141.0532	166.3795	147.1152	152.8178	150.3876	108.1356	119.5502	113.6350	139.1351
Fisuc_1005	78.4330	97.0549	77.4744	149.3785	102.8582	89.8868	78.7395	75.8684	59.5231	83.8558
Fisuc_1006	270.0153	239.4022	195.5911	280.6505	245.3902	188.4166	225.7199	191.3953	239.7158	213.6216
Fisuc_1007	226.2985	178.5811	160.0291	203.6979	185.1447	174.5879	278.2129	254.0443	226.7289	216.9009
Fisuc_1008	212.1548	366.2206	163.8393	99.5857	132.2462	136.5588	318.1076	335.0855	329.5416	283.8919
Fisuc_1009	230.1559	301.5173	240.0437	294.2303	198.3693	209.1597	352.2281	362.6741	344.1518	365.4054
Fisuc_1010	102.8630	129.4066	62.2335	79.2159	94.0418	88.1582	214.1715	175.8768	185.0628	159.7477
Fisuc_1012	3.8574	10.3525	6.3504	2.2633	7.3470	6.9144	8.9238	17.8176	8.1168	16.8649
Fisuc_1013	1486.3697	1256.5378	2275.9697	2041.5060	2309.9006	2770.9345	1250.3834	1456.4438	1502.1469	981.4413
Fisuc_1014	96.4340	84.1143	129.5474	65.6360	72.0007	81.2439	41.9944	44.2566	48.1596	46.8468
Fisuc_1015	131.1503	99.6431	182.8904	205.9612	208.6551	207.4312	122.3087	145.9892	153.1367	145.2252
Fisuc_1016	16.7152	20.7051	22.8613	15.8432	24.9798	22.4717	7.8740	13.7943	13.5280	12.1802
Fisuc_1017	45.0025	33.6457	50.8029	72.4259	63.1843	57.0436	59.8420	59.7751	52.4886	37.0090
Fisuc_1018	24.4300	24.5872	55.8832	79.2159	55.8373	48.4006	28.3462	24.7147	31.9260	32.7928
Fisuc_1019	30.8589	29.7635	58.4233	33.9497	41.1433	39.7576	37.2700	25.8642	33.0083	31.8559
Fisuc_1020	5.1431	1.2941	7.6204	9.0532	2.9388	5.1858	8.3989	12.0700	10.2813	11.2432
Fisuc_1021	286.7305	769.9691	149.8685	590.7240	576.0057	520.3065	712.8550	561.5413	590.9022	555.1351
Fisuc_1022	66.8609	78.9380	83.8248	95.0590	57.3067	60.5008	61.9417	81.0413	66.5577	57.6216
Fisuc_1023	60.4320	38.8220	87.6350	79.2159	64.6537	65.6865	41.4695	38.5090	54.6530	76.3604
Fisuc_1024	23.1442	12.9407	24.1314	11.3166	11.7552	10.3716	10.4986	6.8971	5.4112	7.0270
Fisuc_1025	72.0041	80.2321	68.5839	63.3727	76.4089	58.7722	95.5373	67.8218	106.0594	114.7748
Fisuc_1026	59.1462	60.8211	68.5839	63.3727	74.9395	63.9579	90.2880	75.2937	109.8472	96.0360
Fisuc_1027	14.1437	11.6466	12.7007	9.0532	10.2858	5.1858	13.6482	9.1962	14.6102	16.3964
Fisuc_1028	54.0031	31.0576	74.9343	38.4763	24.9798	38.0290	59.3171	39.0837	57.8998	68.8649
Fisuc_1029	24.4300	11.6466	29.2117	9.0532	5.8776	1.7286	5.7742	4.0233	2.1645	4.6847
Fisuc_1030	38.5736	34.9398	62.2335	67.8993	61.7149	77.7867	55.6426	51.7285	51.4063	57.1531
Fisuc_1031	321.4467	236.8140	267.9853	248.9641	171.9201	186.6880	168.5026	156.9097	211.5776	183.1712
Fisuc_1032	127.2929	71.1736	48.2628	45.2662	39.6739	39.7576	18.3726	16.6681	15.1513	25.7658
Fisuc_1033	90.0051	126.8184	71.1241	83.7425	89.6335	77.7867	61.4168	58.6256	55.7353	62.3063
Fisuc_1034	104.1487	72.4677	133.3576	185.5915	102.8582	150.3876	124.4084	150.5873	176.4049	177.0811
Fisuc_1037	3.8574	5.1763	2.5401	0.0000	2.9388	0.0000	5.7742	4.0233	5.9523	7.4955
Fisuc_1038	10.2863	11.6466	6.3504	11.3166	20.5716	10.3716	15.2230	10.9205	11.3635	12.1802
Fisuc_1039	261.0147	504.6856	213.3722	260.2807	311.5133	312.8753	335.4303	280.4833	271.6418	280.6126
Fisuc_1040	11.5721	14.2347	6.3504	4.5266	13.2246	17.2859	12.0734	10.9205	12.9869	12.6486
Fisuc_1041	93.8624	111.2897	128.2773	122.2188	120.4910	112.3585	51.9681	61.4994	53.5708	40.7568
Fisuc_1042	81.0046	168.2285	130.8175	178.8015	193.9611	203.9740	122.3087	129.3212	124.9985	120.3964
Fisuc_1043	6.4289	6.4703	7.6204	2.2633	0.0000	6.9144	1.5748	6.3224	4.3290	6.5586
Fisuc_1044	316.3036	637.9744	251.4743	298.7570	367.3506	295.5894	832.0142	769.0299	730.5109	654.9188
Fisuc_1045	18.0010	14.2347	7.6204	20.3698	17.6328	19.0145	14.1731	12.6447	9.7401	11.7117
Fisuc_1046	56.5746	113.8778	68.5839	86.0058	77.8783	107.1728	158.5289	174.1525	188.3095	139.1351
Fisuc_1047	37.2878	34.9398	27.9416	31.6863	36.7351	29.3861	20.4723	23.5652	15.1513	14.0541
Fisuc_1048	302.1599	213.5208	363.2407	604.3039	476.0864	546.2354	669.8108	633.9611	786.2462	596.3603
Fisuc_1049	752.1854	746.6759	1079.5615	1674.8497	1582.5464	1590.3055	2083.4474	1729.4552	2195.8617	1755.8196
Fisuc_1050	57.8604	49.1745	63.5036	56.5828	54.3679	60.5008	51.4431	54.6023	48.7007	48.2522
Fisuc_1051	72.0041	47.8804	87.6350	101.8490	76.4089	110.6300	68.2409	78.7422	68.7221	89.0090
Fisuc_1052	234.0132	170.8167	252.7444	298.7570	282.1253	309.4181	219.9457	237.3762	264.6073	249.2252
Fisuc_1053	18.0010	23.2932	19.0511	24.8964	20.5716	12.1002	14.6980	11.4952	15.6925	13.5856
Fisuc_1054	20.5726	12.9407	27.9416	11.3166	13.2246	5.1858	13.6482	12.6447	11.3635	9.8378
Fisuc_1055	36.0020	55.6448	41.9124	24.8964	19.1022	41.4862	22.0471	31.0371	29.7616	32.3243
Fisuc_1056	14.1437	6.4703	8.8905	20.3698	5.8776	8.6430	10.4986	12.0700	4.8701	7.9640
Fisuc_1057	16.7152	20.7051	13.9708	22.6331	35.2657	29.3861	31.4958	25.2895	32.4672	34.1982
Fisuc_1058	2.5716	2.5881	0.0000	2.2633	7.3470	0.0000	10.4986	5.7476	5.4112	6.5586
Fisuc_1059	23.1442	37.5279	38.1022	43.0029	61.7149	51.8578	122.8336	120.6998	124.9985	110.0901
Fisuc_1060	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	6.2992	8.6214	9.1990	5.6216
Fisuc_1061	7.7147	2.5881	6.3504	18.1065	5.8776	5.1858	16.7978	12.0700	14.0691	23.8919
Fisuc_1062	122.1498	121.6422	199.4014	239.9109	198.3693	226.4457	345.9289	343.7069	408.0039	274.9910
Fisuc_1063	63.0036	68.5855	93.9854	158.4317	119.0216	140.0160	185.8252	221.8577	245.6681	181.7657
Fisuc_1064	51.4315	63.4092	121.9270	181.0648	161.6343	114.0871	181.1009	170.1292	226.7289	168.1802
Fisuc_1065	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.2465	24.7147	29.7616	42.6306
Fisuc_1066	137.5792	120.3481	280.6860	253.4908	224.8186	271.3891	333.3306	436.8182	474.5615	341.9819
Fisuc_1067	29.5731	27.1754	29.2117	43.0029	42.6127	25.9289	29.9210	21.2661	29.7616	28.1081
Fisuc_1068	9.0005	9.0585	11.4307	4.5266	16.1634	22.4717	14.6980	19.5419	8.1168	19.2072
Fisuc_1069	3.8574	6.4703	2.5401	9.0532	5.8776	3.4572	5.7742	1.7243	3.7878	7.9640
Fisuc_1070	28.2873	23.2932	19.0511	22.6331	16.1634	22.4717	10.4986	16.6681	14.0691	16.3964
Fisuc_1071	336.8762	517.6263	283.2261	149.3785	152.8178	164.2163	131.2325	118.9755	93.0725	114.7748
Fisuc_1072	345.8767	517.6263	257.8247	165.2217	173.3895	178.0451	112.8600	124.1483	84.4146	82.9189
Fisuc_1073	18.0010	40.1160	16.5109	13.5799	24.9798	19.0145	22.0471	17.2428	21.1036	17.8018
Fisuc_1074	20.5726	29.7635	24.1314	18.1065	11.7552	24.2003	82.9390	87.3636	89.2847	87.6036
Fisuc_1079	329.1615	385.6316	184.1605	49.7928	80.8171	51.8578	58.7922	69.5461	60.0642	64.6486
Fisuc_1080	51.4315	87.9965	33.0219	9.0532	14.6940	15.5573	16.2728	10.9205	10.2813	11.7117
Fisuc_1081	30.8589	41.4101	20.3212	13.5799	14.6940	12.1002	11.5485	6.3224	12.9869	14.5225
Fisuc_1085	2.5716	5.1763	0.0000	0.0000	0.0000	0.0000	3.1496	2.2990	0.5411	8.9009
Fisuc_1086	3.8574	18.1169	8.8905	13.5799	4.4082	5.1858	22.0471	17.2428	16.2336	29.9820
Fisuc_1087	3.8574	6.4703	1.2701	2.2633	1.4694	0.0000	5.7742	1.1495	2.1645	6.5586
