Gene	T389pH67_1	T401pH67_2	T455pH67_3	T642pH61_1	T665pH61_2	T672pH61_3	T652pH565_1	T671pH565_2	T699pH565_3	T723pH565_4
Fisuc_0204	72.0041	41.4101	114.3065	31.6863	44.0821	46.6720	23.6219	22.9904	20.5625	17.8018
Fisuc_0205	914.1945	1330.2995	674.4084	1077.3357	824.3347	658.5939	397.8970	348.8798	349.5630	374.7747
Fisuc_0207	195.4396	55.6448	304.8174	72.4259	63.1843	79.5153	46.1938	55.7518	41.6662	29.9820
Fisuc_0208	78.4330	41.4101	83.8248	83.7425	66.1231	53.5864	53.5429	59.7751	64.9343	60.9009
Fisuc_0209	151.7229	142.3472	110.4963	244.4375	193.9611	181.5023	222.0454	220.7081	233.2224	231.4234
Fisuc_0210	3.8574	0.0000	1.2701	2.2633	2.9388	5.1858	8.3989	4.5981	4.8701	8.9009
Fisuc_0211	453.8828	549.9779	353.0801	439.0822	455.5147	492.6490	401.0466	474.7524	375.5367	356.9729
Fisuc_0212	64.2893	46.5864	48.2628	65.6360	54.3679	50.1292	66.1412	67.2470	67.6399	48.2522
Fisuc_0213	149.1513	141.0532	118.1167	174.2749	119.0216	162.4877	108.6605	114.3774	108.2238	124.1441
Fisuc_0214	32.1447	40.1160	44.4525	29.4230	42.6127	39.7576	64.5664	81.0413	75.2156	63.2432
Fisuc_0215	127.2929	144.9354	157.4890	88.2691	155.7567	140.0160	76.6398	78.1675	80.0856	67.4595
Fisuc_0216	36.0020	21.9991	54.6131	47.5295	27.9186	17.2859	5.2493	9.7709	8.6579	14.5225
Fisuc_0217	32.1447	14.2347	34.2920	22.6331	14.6940	5.1858	6.2992	4.0233	5.4112	13.1171
Fisuc_0218	18.0010	12.9407	30.4817	9.0532	7.3470	5.1858	11.0235	17.8176	14.6102	21.0811
Fisuc_0219	59.1462	25.8813	45.7226	27.1597	17.6328	22.4717	16.7978	11.4952	12.4457	17.3333
Fisuc_0220	626.1782	841.1427	560.1019	633.7269	540.7401	549.6926	652.4881	657.5263	599.0190	590.7387
Fisuc_0221	808.7600	965.3730	1315.7950	1190.5013	1166.7055	1477.9470	861.9352	1119.6340	1047.6068	885.4053
Fisuc_0222	66.8609	59.5270	57.1533	43.0029	45.5515	43.2148	46.7188	54.6023	38.9606	42.1622
Fisuc_0223	16.7152	10.3525	21.5912	18.1065	11.7552	20.7431	25.7216	25.2895	27.5971	31.3874
Fisuc_0224	54.0031	55.6448	40.6423	63.3727	58.7761	44.9434	95.5373	82.1908	75.7567	89.0090
Fisuc_0225	28.2873	20.7051	19.0511	11.3166	26.4492	25.9289	35.6952	29.8876	31.9260	35.1351
Fisuc_0226	59.1462	78.9380	87.6350	74.6892	98.4500	110.6300	97.1121	93.6860	116.8817	117.1171
Fisuc_0227	442.3107	505.9797	505.4888	348.5498	484.9028	547.9640	363.7765	477.0514	454.5401	380.8648
Fisuc_0228	109.2919	200.5802	74.9343	124.4821	105.7970	122.7301	165.3530	94.2608	119.5873	245.0090
Fisuc_0229	41.1452	36.2338	43.1825	38.4763	22.0410	36.3005	28.3462	29.8876	31.3849	21.5495
Fisuc_0230	36.0020	47.8804	27.9416	29.4230	44.0821	27.6575	27.8213	32.1866	37.3372	34.1982
Fisuc_0231	119.5782	133.2888	101.6058	101.8490	111.6746	82.9725	32.5457	42.5323	34.0905	55.7477
Fisuc_0232	36.0020	51.7626	34.2920	49.7928	41.1433	48.4006	35.1703	36.2099	38.4195	39.8198
Fisuc_0233	15.4294	15.5288	17.7810	36.2130	23.5104	15.5573	61.4168	81.6160	66.0165	93.6937
