Name,wildtype-rep1
CPE0398,2
CPE0399,10
CPE0400,14
CPE0401,9
CPE0402,14
CPE0403,38
CPE0404,8
CPE0405,142
CPE0406,51
CPE0407,6
CPE0408,4
CPE0409,12
CPE0410,6
CPE0411,32
CPE0412,22
CPE0413,163
CPE0414,21
CPE0415,18
CPE0416,196
CPE0417,29
CPE0418,14
CPE0419,47
CPE0420,18
CPE0421,50
CPE0422,54
CPE0423,27
CPE0424,74
CPE0425,65
CPE0426,11
CPE0427,1
CPE0428,1
CPE0429,35
CPE0430,29
CPE0431,3
CPE0432,0
CPE0433,72
CPE0434,285
CPE0435,165
CPE0436,414
CPE0437,138
CPE0438,46
CPE0439,27
CPE0440,8
CPE0441,21
CPE0442,1397
CPE0443,2
CPE0444,8
CPE0445,2
CPE0446,6
CPE0447,117
CPE0448,9
CPE0449,11
CPE0450,11
CPE0451,18
CPE0452,238
CPE0453,11
CPE0454,6
CPE0455,174
CPE0456,94
CPE0457,71
CPE0458,485
CPE0459,8
CPE0460,21
CPE0461,7
CPE0462,4
CPE0463,6
CPE0464,3
CPE0465,5
CPE0466,2
CPE0467,7
CPE0468,2
CPE0469,1
CPE0470,6
CPE0471,86
CPE0472,11
CPE0473,20
CPE0474,15
CPE0475,15
CPE0476,15
CPE0477,28
CPE0478,11
CPE0479,13
CPE0480,17
CPE0481,13
CPE0482,24
CPE0483,19
CPE0484,22
CPE0485,13
CPE0486,9
CPE0487,17
CPE0488,27
CPE0489,68
CPE0490,77
CPE0491,41
CPE0492,43
CPE0493,24
CPE0494,19
CPE0495,6
CPE0496,17
CPE0497,18
CPE0498,16
CPE0499,25
CPE0500,22
CPE0501,31
CPE0502,42
CPE0503,58
CPE0504,66
CPE0505,59
CPE0506,135
CPE0507,65
CPE0508,16
CPE0509,58
CPE0510,75
CPE0511,0
CPE0512,107
CPE0513,37
CPE0514,0
CPE0515,0
CPE0516,0
CPE0517,4
CPE0518,1
CPE0519,13
CPE0520,93
CPE0521,8
CPE0522,3
CPE0523,7
CPE0524,98
CPE0525,12
CPE0526,12
CPE0527,12
CPE0528,24
CPE0529,51
CPE0530,104
CPE0531,34
CPE0532,19
CPE0533,30
CPE0534,144
CPE0535,1
CPE0536,25
CPE0537,40
CPE0538,55
CPE0539,30
CPE0540,24
CPE0541,40
CPE0542,18
CPE0543,3
CPE0544,225
CPE0545,687
CPE0546,994
CPE0547,133
CPE0548,94
CPE0549,57
CPE0550,110
CPE0551,152
CPE0552,110
CPE0553,41
CPE0554,119
CPE0555,13
CPE0556,0
CPE0557,46
CPE0558,26
CPE0559,1
CPE0560,4
CPE0561,2
CPE0562,5
CPE0563,11
CPE0564,9
CPE0565,179
CPE0566,6
CPE0567,0
CPE0568,3
CPE0569,7
CPE0570,43
CPE0571,13
CPE0572,490
CPE0573,426
CPE0574,60
CPE0575,21
CPE0576,592
CPE0577,252
CPE0578,218
CPE0579,18
CPE0580,7
CPE0581,1
CPE0582,36
CPE0583,30
CPE0584,83
CPE0585,35
CPE0586,90
CPE0587,1
CPE0588,73
CPE0589,180
CPE0590,3
CPE0591,16
CPE0592,18
CPE0593,32
CPE0594,41
CPE0595,51
CPE0596,105
CPE0597,53
CPE0598,166
CPE0599,46
CPE0600,1
CPE0601,1
CPE0602,2
CPE0603,90
CPE0604,97
CPE0605,205
CPE0606,88
CPE0607,258
CPE0608,0
CPE0609,39
CPE0610,17
CPE0611,72
CPE0612,40
CPE0613,45
CPE0614,19
CPE0615,13
CPE0616,31
CPE0617,3
CPE0618,9
CPE0619,10
CPE0620,16
CPE0621,20
CPE0622,18
CPE0623,26
CPE0624,64
CPE0625,597
CPE0626,147
CPE0627,643
CPE0628,377
CPE0629,446
CPE0630,40
CPE0631,78
CPE0632,124
CPE0633,32
CPE0634,17
CPE0635,36
CPE0636,67
CPE0637,28
CPE0638,37
CPE0639,21
CPE0640,48
CPE0641,108
CPE0642,40
CPE0643,371
CPE0644,527
CPE0645,201
CPE0646,7361
CPE0647,0
CPE0648,2
CPE0649,2
CPE0650,18
CPE0651,10
CPE0652,86
CPE0653,21
CPE0654,69
CPE0655,81
CPE0656,72
CPE0657,132
CPE0658,14
CPE0659,88
CPE0660,36
CPE0661,11
CPE0662,246
CPE0663,523
CPE0664,241
CPE0665,10
CPE0666,18
CPE0667,16
CPE0668,11
CPE0669,1059
CPE0670,31
CPE0671,31
CPE0672,268
CPE0673,11
CPE0674,35
CPE0675,1
CPE0676,22
CPE0677,56
CPE0678,8
