Feature ID,UK
entE,29
entF,199
envE,865
envF,749
envR,191
envZ,872
epd,2306
era,4606
erfK,3730
eutA,132
eutB,327
eutC,130
eutD,27
eutE,46
eutG,25
eutH,314
eutJ,24
eutK,77
eutL,218
eutM,40
eutN,23
eutP,152
eutQ,117
eutR,374
eutS,127
eutT,54
exbB,1980
exbD,800
exoX,3532
fabA,1393
fabB,7089
fabD,1282
fabF,8239
fabG,9358
fabH,1234
fabI,4028
fabZ,2669
fadA,786
fadB,1355
fadD,1870
fadE,1000
fadH,607
fadI,629
fadJ,5546
fadL,2609
fadR,5314
fba,15001
fbaB,4521
fbp,11633
fdhD,827
fdhE,808
fdhF,2005
fdnG,2081
fdnH,463
fdnI,1003
fdoG,26130
fdoH,1913
fdoI,4611
fdrA,39
fdx,797
feoA,553
feoB,2654
fepA,857
fepB,76
fepC,167
fepD,49
fepE,2257
fepG,95
fes,52
ffh,5143
fhlA,2177
fhuA,1410
fhuB,55
fhuC,37
fhuD,111
fhuE,363
fhuF,179
fic,1935
fidL,1714
fieF,1562
fimA,1533
fimC,435
fimD,596
fimF,130
fimH,326
fimI,231
fimW,224
fimY,475
fimZ,414
fis,1339
fixA,48
fixB,18
fixC,134
fixX,5
fklB,230
fkpA,6421
fldA,3357
fldB,1806
flgA,336
flgB,1371
flgC,486
flgD,1156
flgE,2596
flgF,535
flgG,687
flgH,766
flgI,370
flgJ,546
flgK,58370
flgL,21126
flgM,10138
flgN,11610
flhA,905
flhB,566
flhC,5354
flhD,8830
flhE,65
fliA,15784
fliB,6342
fliD,186803
fliE,169
fliF,1462
fliG,1025
fliH,334
fliI,480
fliJ,919
fliK,579
fliL,732
fliM,4128
fliN,1115
fliO,189
fliP,633
fliQ,242
fliR,509
fliS,15552
fliT,10644
fliY,10641
fliZ,14018
fljB,1508168
flk,506
fmt,3015
fnr,16010
focA,8535
folA,527
folB,183
folC,445
folD,886
folE,1509
folK,119
folP,476
foxA,747
fpr,842
frdA,16518
frdB,12761
frdC,5705
frdD,3876
fre,1765
frr,5785
frsA,2198
fruA,343
fruF,38
fruK,101
fruR,2550
frwB,1758
frwC,503
frwD,1728
fsr,622
ftn,3057
ftnB,6563
ftsA,6454
ftsB,737
ftsE,684
ftsI,4907
ftsK,3128
ftsL,1241
ftsN,572
ftsQ,4470
ftsW,2225
ftsX,1052
ftsY,3391
ftsZ,7759
fucA,215
fucI,677
fucK,331
fucO,285
fucR,1316
fucU,152
fumA,9986
fumB,2268
fumC,6886
fur,9069
fusA,37875
fxsA,1969
gabD,347
gabP,1219
gabT,469
galE,1391
galF,5530
galK,1361
galM,2810
galP,1933
galR,974
galS,808
galT,691
galU,4939
gapA,64005
garD,456
garK,262
garL,90
garR,214
gatY,78
gcd,2318
gcl,93
gcp,348
gcvA,2596
gcvH,3368
gcvP,9857
gcvR,1299
gcvT,13680
gdhA,866
ggt,2450
gidA,2068
gidB,999
gip,85
gldA (NC_011294 3573064..3574174),153
gldA (NC_011294 4194998..4196102),2054
glgA,6515
glgB,7850
glgC,11621
glgP,22889
glgS,8036
glgX,4779
glk,1580
glmM,806
glmS,8092
glmU,5986
glnA,2595
glnB,1195
glnD,956
glnE,1363
glnG,477
glnH,4962
glnK,8
glnL,293
glnP,758
glnQ,1329
glnS,6957
gloA,2471
gloB,2565
glpA,144
glpB,69
glpC,268
glpD,593
glpE,216
glpF,1838
glpG,527
glpK,3058
glpQ,6856
glpR,620
glpT,2469
glpX,340
gltA,19231
gltB,576
gltD,392
gltI,6473
gltJ,1103
gltK,919
gltL,1546
gltP,522
gltS,1094
gltX,3943
glxK,77
glxR,150
glyA,4238
glyQ,1059
glyS,1712
gmd,55
gmhA,3759
gmk,3878
gnd,6850
gntK,99
gntR,427
gntT,217
gntU,167
gor,1529
gph,675
gpmA,10859
gpmB,994
gppA,1559
gpsA,2474
gpt,726
greA,3835
greB,1669
groEL,122405
groES,31335
grpE,5972
grxA,2479
grxB,7261
grxC,2689
gshA,7869
gshB,1828
gsk,1315
gsp,2596
gst,11326
gtrA,237
gtrB,102
gtrC,567
guaA,1093
guaB,637
guaC,2363
gudD,387
gudP,534
gutM,338
gutQ,1056
gyrA,5585
gyrB,8065
hcaT,536
hcp,362
hcr,143
hdeB,2344
helD,1936
hemA,1390
hemB,2240
hemC,2144
hemD,421
hemE,942
hemF,334
hemG,1891
hemH,678
hemK,230
hemL,662
hemN,3360
hemX,1907
hemY,936
hepA,1448
hflB,18299
hflC,4556
hflK,4693
hflX,8636
hfq,12710
hha,6281
hilA,2191
hilC,2920
hilD,13778
hisA,170
hisB,1157
hisC,414
hisD,292
hisF,381
hisG,216
hisH,218
hisI,437
hisJ,1583
hisM,901
hisP,796
hisQ,449
hisS,1803
hlpA,9523
hmpA,204
hnr,3358
hns,48493
hofB,142
hofC,142
hofQ,529
holA,427
holB,328
holC,389
holD,89
holE,103
hopD,1421
hpaA,123
hpaB,167
hpaC,92
hpaD,420
hpaE,175
hpaF,74
hpaG,103
hpaH,109
hpaI,24
hpaR,320
hpaX,398
hpt,954
hrpA,5065
hrpB,587
hscA,848
hscB,771
hscC,1146
hsdM,724
hsdR,1874
hsdS,1623
hslJ,1241
hslO,1219
hslU,5398
hslV,1223
htgA,239
htpG,10117
htrA,2250
htrB,715
hupA,20081
hupB,26924
hutC,459
hutG,438
hutH,542
hutI,738
hyaA,925
hyaB,923
hyaC,1131
hyaD (NC_011294 1326703..1327300),266
hyaD (NC_011294 1617996..1618605),587
hyaE (NC_011294 1326309..1326714),133
hyaE (NC_011294 1618900..1619311),554
hyaF (NC_011294 1325464..1326313),132
hyaF (NC_011294 1619328..1620390),1850
hybA,22558
hybB,12845
hybC,14024
hybD,4632
hybE,2615
hybF,1016
hybG,2715
hycA,42
hycB,6
hycC,25
hycD,21
hycE,75
hycF,31
hycG,22
hycH,14
hycI,72
hydG,2165
hydH,2764
hydN,27
hypA,959
hypB,2409
hypC,456
hypD,1355
hypE,649
hypF,189
hypO,37078
iacP,2512
iadA,2377
iagB,944
iap,1383
ibpA,18229
ibpB,27788
icc,6288
icdA,25398
iciA,206
iclR,164
idi,1091
idnD,592
idnK,1439
idnO,369
idnR,2432
idnT,1887
ihfA,14458
ihfB,5745
ileS,6760
ilvA,356
ilvB,793
ilvC,986
ilvD,490
ilvE,882
ilvG,403
ilvH,421
ilvI,683
ilvM,149
ilvN,295
ilvY,84
imp,15511
infA,7616
infB,8887
infC,42526
invA,7962
invB,3711
invC,1953
invE,5484
invF,9329
invG,10110
invH,876
invI,2154
invJ,3286
ipk,2116
iraD,464
iroB,74
iroC,184
iroD,26
iroE,98
iroN,470
iscA,3316
ispA,1730
ispB,3311
ispD,498
ispF,381
ispG,2824
ispH,718
ivbL,185
katE,17967
katG,6828
kbl,2697
kdgK,362
kdgR,7663
kdgT,188
kdpA,39
kdpB,86
kdpC,40
kdpD,922
kdpE,276
kdsA,2409
kdsB,878
kdtA,771
kduD,469
kduI,279
kefB,1185
kefC,628
kgtP,1121
kil,19
ksgA,3154
lamB,831
lasT,308
ldcA,522
ldcC,4103
ldhA,5266
lepA,3204
lepB,1519
leuA,122
leuB,144
leuC,47
leuD,188
leuL,35
leuO,117
leuS,4794
lexA,4336
lgt,1063
ligA,890
ligB,216
ligT,100
lipA,3092
lipB,1064
livF,48
livG,68
livH,152
livJ,146
livK,740
livM,132
lldD,880
lldP,1014
lldR,339
lnt,2237
lolA,5593
lolB,910
lolD,257
lon,10509
lonH,1546
lpdA,13791
lpfA,283
lpfB,99
lpfC,605
lpfD,681
lpfE,142
lplA,486
lpp,296577
lppB,6118
lpxA,3095
lpxB,658
lpxC,40504
lpxD,5588
lpxH,188
lpxK,151
lpxO,1653
lrhA,6169
lrp,5149
lspA,1639
ltaA,272
luxS,3010
lysA,98
lysC,407
lysP,2954
lysR,152
lysS,6770
lyxK,14
maa,3740
maeB,6343
malE,653
malF,500
malG,292
malK,218
malM,315
malP,1946
malQ,1352
malS,276
malT,6790
malX,263
malY,75
malZ,239
manA,826
manC,41
manX,8103
manY,5694
manZ,9236
map,1536
marA,1552
marB,553
marC,1048
marR,785
marT,2031
mazG,3220
mdaA,409
mdaB,670
mdfA,273
mdh,27882
mdlA,992
mdlB,402
mdoB,5847
mdoC,1830
mdoD,2343
mdoG,11651
mdoH,2731
mdtI,374
mdtJ,2158
melA,6420
melB,2229
melR,3867
menA,495
menB,827
menC,484
menD,1006
menE,649
menF,1121
menG,4768
mepA,187
metA,1004
metB,219
metC,973
metE,370
metF,767
metG,2624
metH,705
metJ,1941
metK,2174
metL,539
metN,911
metQ,5171
metR,29
mfd,1518
mglA,2899
mglB,6939
mglC,1157
mgsA,1077
mgtA,1069
mgtB,8319
mgtC,2536
miaA,10884
miaB,2504
miaE,925
mig-14,10863
mig-3,1846
minC,2254
minD,8560
minE,2016
mioC,1564
mipA,10324
misL,1079
mlc,1299
mltA,1145
mltB,988
mltC,1257
mltD,5286
mnmA,2135
mnmC,1545
mntH,1947
moaA,2635
moaB,417
moaC,310
moaD,94
moaE,76
mobA,668
mobB,821
mod,2342
modA,2668
modB,1029
modC,2493
modE,630
modF,886
moeA,471
moeB,199
mogA,849
motA,38164
motB,20235
mpl,766
mppA,9133
mraW,2477
mraY,2095
mrcA,822
mrcB,2664
mrdA,1197
mrdB,612
mreB,1827
mreC,513
mreD,1133
mrp,1995
mrr,257
msbA,2737
msbB,2276
mscL,12244
msgA,1564
msrA,2027
msyB,10869
mtgA,862
mtlA,2006
mtlD,1862
mtlR,1321
mtr,161
mug,6779
mukB,2451
mukE,663
mukF,964
murA,737
murB,1584
murC,2668
murD,1194
murE,1100
murF,1267
murG,578
murI,1605
murQ,349
mutH,93
mutL,966
mutM,697
mutS,1196
mutT,754
mutY,776
mviM,859
mviN,1335
nadA,143
nadB,214
nadC,174
nadD,403
nadE,1907
nadR,7907
nagA,2955
nagB,2835
nagC,2276
nagD,551
nagE,3679
nanA,209
nanE,217
nanK,518
nanT,567
napA,1277
napB,201
napC,363
napD,50
napF,363
napG,88
napH,188
narG,724
narH,251
narI,229
narJ,145
narK,196
narL,606
narP,1070
narQ,745
narU,543
narV,214
narW,117
narX,702
narY,453
narZ,508
ndh,2182
ndk,1360
nei,1328
nemA,663
nepI,178
nfi,751
nfnB,1022
nfo,665
nhaA,2491
nhaB,1572
nhaR,2448
nhoA,1125
nifJ,6847
nifS,2480
nifU,3181
nikR,345
nirB,266
nirC,79
nirD,53
nlp,246
nlpB,1361
nlpC,418
nlpD,27585
nlpI,141254
nmpC,163112
nrdA,6146
nrdB,2849
nrdD,3940
nrdE,444
nrdF,544
nrdG,772
nrdH,23
nrdI,13
nrdR,3462
nrfA,2871
nrfB,998
nrfC,350
nrfD,244
nrfG,134
nth,740
ntpA,561
nudC,862
nudE,554
nudF,753
nuoA,4182
nuoB,3555
nuoC,5335
nuoE,1038
nuoF,2176
nuoG,4855
nuoH,3829
nuoI,3395
nuoJ,1818
nuoK,625
nuoL,4852
nuoM,4011
nuoN,2041
nupC,6523
nupG,2285
nusA,12436
nusB,5587
nusG,2148
nxiA,1867
oat,1256
obgE,2996
ogt,1997
ompA,216943
ompC,59338
ompF,3893
ompL,296
ompN,500
ompR,2851
ompS,742
ompW,73453
ompX,22348
oppA,9590
oppB,958
oppC,1306
oppD,2273
oppF,1377
orf242,811
orf245,2616
orf319,21752
orf32,553
orf408,2462
orf48,1143
orf70,511
orfB,2387
orfX,9139
orgA,4896
orn,645
osmC,11422
osmE,44581
osmY,34287
otsA,4725
otsB,3072
oxyR,1850
pabA,467
pabB,929
pabC,1241
pagC,13635
pagD,585
pagK,4621
pagO,2207
pagP,3836
pal,8989
panB,226
panC,305
panD,1371
panF,250
parC,702
parE,4709
pbpC,197
pbpG,1029
pckA,47707
pcm,511
pcnB,1359
pdgL,1035
pdhR,830
pduA,510
pduC,2370
pduD,549
pduE,337
pduF,2591
pduG,487
pduH,149
pduJ,104
pduK,189
pduL,191
pduM,56
pduN,38
pduO,123
pduP,295
pduQ,161
pduS,87
