Gene.ID,24hpi_CtE_Hep2_MOI_1_rRNAdep.Avg.RPKM
CT300,0.0551011
CT301,0.1986753
CT302,0.3367713
CT303,0.6551251
CT304,0.5762016
CT305,0.2616685
CT306,0.3793070
CT307,0.3432814
CT308,0.2287926
CT309,0.1968931
CT310,0.6241750
CT311,0.6014054
CT312,3.6091703
CT313,5.2164335
CT314,1.9912578
CT315,1.3559514
CT316,3.6736372
CT317,2.3158709
CT318,1.5719823
CT319,2.1524036
CT320,1.0715730
CT321,1.1574780
CTt11,1.2167444
CT322,2.6095001
CTt12,3.4076215
CT323,1.0954205
CT324,0.0847934
CT325,0.1563153
CT326,0.0494630
CT326.1,0.0080259
CT326.2,0.5524209
CTt13,0.0557156
CT327,0.9866585
CT328,0.4828339
CT329,0.2968647
CT330,0.8350409
CT331,0.1958685
CT332,0.5751966
CT333,0.0810290
CT334,0.0906068
CT335,0.2979605
CT336,0.3116926
CT337,0.5961957
CT338,0.1650295
CT339,0.0641903
CT340,0.3018331
CT341,1.4356710
CT342,6.7274936
CT343,0.3782425
CT344,0.6852321
CT345,0.1227430
CT346,0.1743303
CT347,0.0255944
CT348,2.3347882
CT349,0.7156267
CT350,0.2338556
CT351,0.1371071
CT351a,1.2341381
CT352,1.4299797
CT353,1.1891872
CT354,0.8855448
CT355,2.1173047
CT356,0.0832333
CTt14,0.0964126
CT357R,0.2280436
CT357,0.3236983
CT358,0.5982727
CT359,1.4668313
CT360,0.2545821
CT361,1.1488784
CT362,0.8799897
CT363,0.6041238
CT364,1.1214137
CT365,0.1486943
CT366,0.1536233
CT367,0.1354282
CT368,0.0733993
CT369,0.0939845
CT370,0.1062723
CT371,0.0704478
CT372,0.3747677
CT373,0.5707460
CT374,0.3123505
CT375,0.3983562
CT376,0.7641920
CT377,0.2994789
CT378,0.7812651
CT379,0.3078230
CT380,0.4195404
CT381,1.7845836
CT382,0.1346965
CT382.1,0.9804293
CT383,0.1464778
CT384,0.1808329
CT385,1.2325097
CT386,1.3186635
CT387,0.2019440
CT388,0.5163216
CT389,0.2292919
CT390,0.2579161
CT391,0.1632238
CT392,0.0643706
CT393,0.4093017
CT394,0.3170607
CT395,0.9203553
CT396,1.6069696
CT397,0.8791896
CT398,3.6963939
CT398.1,45.1274265
CT399,0.5756199
CT400,0.3256628
CT401,0.7308412
CT402,1.7107399
CT403,0.6216866
CT404,0.7251165
CT405,1.2701143
CT406,1.3151414
CT407,1.9746945
CT408,0.7027185
CT409,0.5538774
CT410,0.4003059
CT411,0.1171718
CT412,0.0552771
CT413,0.6108118
CT414,0.3440268
CTt15,0.1813490
CT415,0.1706379
CT416,0.1255008
CT417,0.2306112
CT418,0.2586389
CT419,1.3073520
CT420,2.5225128
CTt16,0.2755928
CT421,0.7117086
CT421.1,5.2955158
CT421.2,4.4874212
CT422,0.7302568
CT423,0.2606996
CT424,1.4600716
CT425,0.3739715
CT426,0.1684658
CT427,0.1850349
CT428,0.5553785
CT429,2.4769939
CT430,1.2892180
CT431,2.6233639
CT432,0.6729983
CT433,0.0231245
CT434,0.3405224
CT435,0.4313497
CT436,3.1556131
CT437,2.1706716
CT438,3.0961493
CT439m,3.8206826
CT440,0.1311570
CT441,0.0998116
CT442,0.0305822
CT443,4.2956426
CT444,42.7809948
CT444.1,0.3764181
CT445,0.6234774
CT446,0.3729911
CT447,0.4935333
CT448,0.6020486
CT449,0.0878165
CT450,0.3569896
CT451,0.4291176
CT452,0.3939201
CT453,0.3733300
CT454,0.2697311
CT455,0.6586107
CT456,0.2086988
CT457,0.8449174
CT458,0.3101426
CT459,0.2113627
CT460,8.5664589
CT461,0.8887973
CT462,0.3860513
CT463,0.3007746
CT464,0.5139138
CT465,0.1067628
CTt17,0.0229137
CT466,0.5975091
CT467,0.3099285
CT468,0.1074001
CTt18,0.0424283
CT469,0.0467147
CT470,0.1327027
CT471,0.4186464
CTt19,0.1044443
CT472,0.3046120
CT473,0.1205368
CT474,0.0923566
CT475,0.2459147
CT476,1.0410491
CT477,0.3288736
CT478,0.4992835
CT479,0.6843504
CT480,0.8130548
CT480.1,36.4074403
CT481,0.1741280
CT482,1.2122663
CT483,0.2135914
CT484,0.2171730
CT485,0.3895287
CT486,0.8221334
CT487,0.1219991
CT488,0.2001369
CT489,0.1620382
CT490,0.5231538
CT491,1.4747485
CT492,2.8593680
CT493,0.3168621
CT494,0.4173924
CT495,0.2174137
CT496,1.9832511
CTt20,0.0372417
CT496.1,0.1825818
CT497,0.2954268
CT498,1.4487794
CT499,0.3370762
CT500,15.7499008
CT501,0.4658343
CT502,0.9595646
CT503,2.3436270
CTt21,1.7636255
CT504,1.8569749
CT505,1.9450829
CT506,2.5568135
CT507,2.3766886
CT508,4.3218972
CT509,3.0074952
CT510,1.2313076
CT511,1.8871753
CT512,1.4863810
CT513,1.5747197
CT514,1.0369584
CT515,1.1259176
CT516,1.3649215
CT517,1.2736080
CT518,1.7531130
CT519,1.9190914
CT520,1.6685943
CT521,1.0147064
CT522,1.1067098
CT523,1.6979101
CT524,2.5116231
CT525,2.5252785
CT526,2.6920983
CT527,1.3751129
CT528,1.2863770
CT529,0.2384889
CT530,0.5046350
CT531,0.8450383
CT532,0.9327714
CT533,1.0435456
CT534,0.1616391
CT535,1.0746416
CT536,0.7916130
CT537,1.2468501
CT538,2.9962132
CTt22,0.1592514
CT539,1.6724359
CT540,0.9659905
CT541,1.5501852
CT542,0.7932365
CT543,1.0900087
CT544,1.4481083
CT545,0.3015114
CT546,0.3945415
CT547,0.4178479
CT548,0.1554987
CT549,0.3699964
CT550,1.1248705
CT551,0.4511251
CT552,0.0794072
CT553,0.0238889
CT554,1.4070755
CT555,0.1689763
CT556,2.4468851
CT557,0.9282295
CT558,0.4317885
CT559,2.3407023
CT560,0.6461573
CT561,1.3215651
CT562,0.4115626
CT563,0.8780302
CT564,0.4257822
